GO Term	Genes
Cartilage development (GO:0051216)	ATP8B3, DEFB106A /// DEFB106B, PLA2G12A, COL6A5
Extracellular matrix organization (GO:0030198)	TAF3, USP22, CACNB2
Eyelid development in camera-type eye (GO:0061029)	KLHL12, APLP2
Cell-cell signaling (GO:0007267)	GNMT
Collagen fibril organization (GO:0030199)	RAPGEF5
Collagen catabolic process (GO:0030574)	RAPGEF5
Positive regulation of cellular protein metabolic process (GO:0032270)	WNT6, PSMD6, CTNNA1
Negative regulation of b cell differentiation (GO:0045578)	OLFM2, ACVR1B
Cartilage condensation (GO:0001502)	CDHR3, FASTKD2
Extracellular matrix disassembly (GO:0022617)	MYB, COL6A5, ADAMTSL1
Cell chemotaxis (GO:0060326)	SPAG11A /// SPAG11B, PSMD6
Endodermal cell differentiation (GO:0035987)	IL17RA, ASB14
Response to glucocorticoid (GO:0051384)	WDR60, MYO18B
Tendon development (GO:0035989)	FOXA2, HPS6, LSG1, IPMK
Regulation of cytokine production (GO:0042035)	TBX6, BARD1
Ethanol oxidation (GO:0006069)	PPP2R5E, TBC1D1, SOX5
Skeletal system morphogenesis (GO:0048705)	EGF
Hemoglobin biosynthetic process (GO:0042541)	RRM2
Cell adhesion (GO:0007155)	PLA2G12A
Xenobiotic metabolic process (GO:0006805)	HSPA9, DNTTIP2, PLXNA3, POT1
Ventricular cardiac muscle tissue morphogenesis (GO:0055010)	CDHR3, DIP2A, EIF3A
Chondrocyte development (GO:0002063)	DDX25, LSG1
